window,signal_mean,signal_std,hurst,entropy
1,0.882052010641631,41.2250105755061,0.746385017406271,0.15658997383457
1,-1.3201744344222,41.8585383608413,0.781973042373289,0.163905163481467
1,2.59748587654716,51.1949939539773,0.760462085290919,0.17047497825897
1,-2.14155489088345,49.4817140334266,0.73433496668438,0.184664725402518
1,1.94119607115251,50.6009798041915,0.765186309630327,0.150747108106347
1,-0.11623899997561,40.8601362974661,0.689435937887782,0.1710134830357
1,-0.231258487145016,47.5474287406927,0.76064600038802,0.12473249470651
1,2.79075885828881,41.0788719431241,0.740238164650615,0.160238069738129
1,-1.372021939784,33.1595942598869,0.74365865845749,0.162506463992166
1,-0.457040533297431,36.1883063297296,0.719500184510459,0.16225704903682
1,2.8336591708299,32.4662272023459,0.771085836139445,0.189987687950417
1,-0.36036790749,38.0849229772826,0.772395818053137,0.164242885343862
1,-3.07176198662547,42.7822219727079,0.758914198251997,0.140403183013459
1,3.26407887565864,38.6683093322234,0.734031858126537,0.164179968575916
1,0.186078071309678,28.9428306783927,0.738411059282084,0.197144620725692
1,-1.6124944240082,33.853854049873,0.708919469299937,0.193764746371207
1,0.830560052781663,34.1041073306216,0.772403669461435,0.245816290346769
1,-3.39095093024945,51.4325452850595,0.682546816681095,0.203242739054298
1,5.02398855196534,40.6452262761831,0.806182950059141,0.142673499729162
1,-2.03190881796403,42.3810714395028,0.821330541694736,0.171069256878882
1,0.553281127586121,46.3582615429724,0.756669282885363,0.142578184555684
1,1.32480869373288,52.6765754706413,0.689039447012002,0.172343331174462
2,0.978510150216774,30.6739291333388,0.717163322802939,0.250179464988055
2,-0.697306685840259,27.7924643291709,0.709790866198796,0.24432680169919
2,-5.22212708600464,32.3571361993927,0.808834099281179,0.203512370927358
2,2.89152721703614,47.5817936960932,0.770641361112989,0.194128972730346
2,-0.384695298273483,50.3137655842738,0.787968930538415,0.138166136654343
2,2.74418425043845,35.5747177989002,0.772369193347894,0.207296614826947
2,-0.775581835963079,80.3038380865058,0.758044777647764,0.109651338818796
2,0.675763168317286,42.3167768668348,0.677590080267517,0.236735118657061
2,4.59220524215679,44.1265758526578,0.803694282952569,0.176143444006899
2,-3.60975951068327,38.9177367385815,0.743524734876666,0.197386769370995
2,2.24810193750523,32.6883806251816,0.747928298610967,0.249888202980833
2,-2.15774415602676,39.4769066506316,0.790632586596103,0.247944446031365
2,-2.8762773777268,39.7611831482186,0.734640806429241,0.210106724001456
2,1.71097845861978,43.8232128862141,0.748105976037232,0.168722986853533
2,-0.756213514956419,49.611596416373,0.778944011305754,0.157536852993087
2,2.4272627156509,54.2453873314135,0.755175008946085,0.163620322667371
2,-4.92782811951852,80.2935944017958,0.752811110726511,0.122072040816691
2,12.3850911692827,52.0561723508951,0.8246179194079,0.15670108135868
2,-5.69651170737045,42.8485421608801,0.731395053785534,0.211713871212531
